  J/psi pT    B pT Mean    BpT RMS  
 29.0-30.0   & 22.0  pm    5.2 

  J/psi pT    B pT Mean    BpT RMS  
 0.0-1.0   & 1.5  /pm    1.1 

 1.0-2.0   & 2.3  /pm    1.3 

 2.0-3.0   & 3.4  /pm    1.4 

 3.0-4.0   & 4.4  /pm    1.4 

 4.0-5.0   & 5.5  /pm    1.5 

 5.0-6.0   & 6.6  /pm    1.6 

 6.0-7.0   & 7.8  /pm    1.8 

 7.0-8.0   & 8.9  /pm    1.9 

 8.0-9.0   & 10.1  /pm    2.0 

 9.0-10.0   & 11.2  /pm    2.1 

 10.0-11.0   & 12.4  /pm    2.3 

 11.0-12.0   & 13.7  /pm    2.6 

 12.0-13.0   & 14.8  /pm    2.5 

 13.0-14.0   & 15.9  /pm    2.6 

 14.0-15.0   & 17.0  /pm    2.8 

 15.0-16.0   & 18.2  /pm    3.1 

 16.0-17.0   & 19.2  /pm    2.6 

 17.0-18.0   & 20.2  /pm    2.9 

 18.0-19.0   & 22.0  /pm    3.8 

 19.0-20.0   & 23.0  /pm    3.6 

 20.0-21.0   & 23.5  /pm    2.7 

 21.0-22.0   & 25.1  /pm    3.1 

 22.0-23.0   & 26.4  /pm    2.5 

 23.0-24.0   & 26.4  /pm    1.9 

 24.0-25.0   & 29.1  /pm    3.9 

 25.0-26.0   & 28.6  /pm    2.4 

 26.0-27.0   & 30.0  /pm    3.2 

 27.0-28.0   & 29.9  /pm    1.6 

 28.0-29.0   & 32.1  /pm    2.4 

 29.0-30.0   & 34.1  /pm    2.7 

  J/psi pT    B pT Mean    BpT RMS  
 0.0-1.0   & 1.5  /pm    1.1 

 1.0-2.0   & 2.3  /pm    1.3 

 2.0-3.0   & 3.4  /pm    1.4 

 3.0-4.0   & 4.4  /pm    1.4 

 4.0-5.0   & 5.5  /pm    1.5 

 5.0-6.0   & 6.6  /pm    1.6 

 6.0-7.0   & 7.8  /pm    1.8 

 7.0-8.0   & 8.9  /pm    1.9 

 8.0-9.0   & 10.1  /pm    2.0 

 9.0-10.0   & 11.2  /pm    2.1 

 10.0-11.0   & 12.4  /pm    2.3 

 11.0-12.0   & 13.7  /pm    2.6 

 12.0-13.0   & 14.8  /pm    2.5 

 13.0-14.0   & 15.9  /pm    2.6 

 14.0-15.0   & 17.0  /pm    2.8 

 15.0-16.0   & 18.2  /pm    3.1 

 16.0-17.0   & 19.2  /pm    2.6 

 17.0-18.0   & 20.2  /pm    2.9 

 18.0-19.0   & 22.0  /pm    3.8 

 19.0-20.0   & 23.0  /pm    3.6 

 20.0-21.0   & 23.5  /pm    2.7 

 21.0-22.0   & 25.1  /pm    3.1 

 22.0-23.0   & 26.4  /pm    2.5 

 23.0-24.0   & 26.4  /pm    1.9 

 24.0-25.0   & 29.1  /pm    3.9 

 25.0-26.0   & 28.6  /pm    2.4 

 26.0-27.0   & 30.0  /pm    3.2 

 27.0-28.0   & 29.9  /pm    1.6 

 28.0-29.0   & 32.1  /pm    2.4 

 29.0-30.0   & 34.1  /pm    2.7 

  J/psi pT    B pT Mean    BpT RMS  
 0.0-1.0   & 1.5  /pm    1.1 

 1.0-2.0   & 2.3  /pm    1.3 

 2.0-3.0   & 3.4  /pm    1.4 

 3.0-4.0   & 4.4  /pm    1.4 

 4.0-5.0   & 5.5  /pm    1.5 

 5.0-6.0   & 6.6  /pm    1.6 

 6.0-7.0   & 7.8  /pm    1.8 

 7.0-8.0   & 8.9  /pm    1.9 

 8.0-9.0   & 10.1  /pm    2.0 

 9.0-10.0   & 11.2  /pm    2.1 

 10.0-11.0   & 12.4  /pm    2.3 

 11.0-12.0   & 13.7  /pm    2.6 

 12.0-13.0   & 14.8  /pm    2.5 

 13.0-14.0   & 15.9  /pm    2.6 

 14.0-15.0   & 17.0  /pm    2.8 

 15.0-16.0   & 18.2  /pm    3.1 

 16.0-17.0   & 19.2  /pm    2.6 

 17.0-18.0   & 20.2  /pm    2.9 

 18.0-19.0   & 22.0  /pm    3.8 

 19.0-20.0   & 23.0  /pm    3.6 

 20.0-21.0   & 23.5  /pm    2.7 

 21.0-22.0   & 25.1  /pm    3.1 

 22.0-23.0   & 26.4  /pm    2.5 

 23.0-24.0   & 26.4  /pm    1.9 

 24.0-25.0   & 29.1  /pm    3.9 

 25.0-26.0   & 28.6  /pm    2.4 

 26.0-27.0   & 30.0  /pm    3.2 

 27.0-28.0   & 29.9  /pm    1.6 

 28.0-29.0   & 32.1  /pm    2.4 

 29.0-30.0   & 34.1  /pm    2.7 

  J/psi pT    B pT Mean    BpT RMS  
 0.0-1.0   & 1.4  /pm    1.0 

 1.0-2.0   & 2.1  /pm    1.1 

 2.0-3.0   & 3.1  /pm    1.3 

 3.0-4.0   & 4.2  /pm    1.3 

 4.0-5.0   & 5.3  /pm    1.4 

 5.0-6.0   & 6.5  /pm    1.5 

 6.0-7.0   & 7.6  /pm    1.6 

 7.0-8.0   & 8.8  /pm    1.8 

 8.0-9.0   & 10.0  /pm    2.0 

 9.0-10.0   & 11.2  /pm    2.1 

 10.0-11.0   & 12.4  /pm    2.3 

 11.0-12.0   & 13.5  /pm    2.5 

 12.0-13.0   & 14.8  /pm    2.6 

 13.0-14.0   & 15.9  /pm    2.6 

 14.0-15.0   & 17.0  /pm    3.0 

 15.0-16.0   & 18.2  /pm    3.2 

 16.0-17.0   & 19.3  /pm    2.6 

 17.0-18.0   & 20.3  /pm    2.7 

 18.0-19.0   & 21.8  /pm    3.4 

 19.0-20.0   & 22.8  /pm    3.5 

 20.0-21.0   & 23.6  /pm    2.8 

 21.0-22.0   & 25.5  /pm    3.4 

 22.0-23.0   & 26.7  /pm    3.2 

 23.0-24.0   & 26.5  /pm    2.0 

 24.0-25.0   & 29.2  /pm    4.1 

